Mesure (Unité de mesure combinée),Domaine,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Emploi dans les activités de l'économie verte,Eco-activités,483281.0,515193.0,567175.0,569919.0,565869.0,569774.0,569289.0,577332.0,579211.0,599790.0,622177.0,646391.0,666845.0,745641.0
Emploi dans les activités de l'économie verte,Protection de l'environnement,225531.0,237707.0,249466.0,255730.0,264786.0,268265.0,273149.0,278378.0,281655.0,291438.0,310348.0,328633.0,343500.0,366318.0
Emploi dans les activités de l'économie verte,Air,8372.0,7188.0,6843.0,6362.0,6791.0,7204.0,7369.0,7994.0,7848.0,8237.0,9049.0,9342.0,11502.0,12464.0
Emploi dans les activités de l'économie verte,Eaux_usées,59768.0,60562.0,60121.0,58061.0,55643.0,57256.0,57462.0,55285.0,53488.0,54444.0,54147.0,54721.0,53489.0,57741.0
Emploi dans les activités de l'économie verte,Déchets,85417.0,88199.0,92250.0,95733.0,100457.0,100009.0,103170.0,103537.0,99012.0,95985.0,99297.0,101353.0,100253.0,101973.0
Emploi dans les activités de l'économie verte,Déchets_radio,3546.0,3756.0,3621.0,4078.0,3707.0,3416.0,3575.0,3443.0,3452.0,3110.0,2797.0,3072.0,3275.0,3541.0
Emploi dans les activités de l'économie verte,Sols et masses d'eau,38919.0,47294.0,56588.0,61946.0,67328.0,69385.0,71145.0,77476.0,86643.0,98334.0,111749.0,126342.0,139586.0,151839.0
Emploi dans les activités de l'économie verte,Bruit,6873.0,6614.0,5523.0,5061.0,5656.0,5229.0,4955.0,4667.0,4790.0,4866.0,4591.0,4234.0,4389.0,5438.0
Emploi dans les activités de l'économie verte,"Nature, biodiversité, paysages",22635.0,24095.0,24518.0,24490.0,25204.0,25765.0,25473.0,25977.0,26421.0,26461.0,28719.0,29570.0,31007.0,33323.0
Emploi dans les activités de l'économie verte,Gestion des ressources naturelles,182238.0,200281.0,230652.0,224234.0,213997.0,213502.0,208710.0,214739.0,215915.0,227918.0,233015.0,236637.0,241882.0,285898.0
Emploi dans les activités de l'économie verte,gestion_eau,3953.0,4416.0,4528.0,4453.0,4434.0,4209.0,3952.0,4143.0,4094.0,3981.0,4621.0,4820.0,3955.0,4508.0
Emploi dans les activités de l'économie verte,gestion_forêt,11711.0,12282.0,11317.0,10607.0,10484.0,11347.0,10050.0,10138.0,9891.0,10642.0,11412.0,10288.0,10590.0,10484.0
Emploi dans les activités de l'économie verte,recup,24950.0,25129.0,25091.0,25750.0,26913.0,26653.0,26314.0,26108.0,26928.0,27059.0,28000.0,29583.0,28536.0,34216.0
Emploi dans les activités de l'économie verte,EnR,56744.0,60681.0,83468.0,82022.0,69723.0,66464.0,65486.0,66178.0,66583.0,70880.0,74593.0,84962.0,94943.0,109781.0
Emploi dans les activités de l'économie verte,Maîtrise énergie,84880.0,97773.0,106248.0,101403.0,102444.0,104829.0,102908.0,108171.0,108420.0,115356.0,114389.0,106985.0,103858.0,126908.0
Emploi dans les activités de l'économie verte,Activités transversales,75512.0,77204.0,87058.0,89955.0,87086.0,88007.0,87430.0,84215.0,81640.0,80434.0,78813.0,81120.0,81464.0,93426.0
Emploi dans les activités de l'économie verte,Ingénierie,10705.0,11244.0,11154.0,13305.0,13204.0,12694.0,12683.0,12467.0,10930.0,12097.0,11841.0,12536.0,12338.0,13653.0
Emploi dans les activités de l'économie verte,R&D,20594.0,23668.0,23531.0,27370.0,27833.0,28621.0,28362.0,27205.0,25269.0,24033.0,22214.0,23383.0,23323.0,27048.0
Emploi dans les activités de l'économie verte,Serv gaux,44212.0,42292.0,52373.0,49280.0,46049.0,46692.0,46385.0,44543.0,45442.0,44304.0,44758.0,45201.0,45803.0,52724.0
Emploi dans les activités de l'économie verte,Activités périphériques,373205.0,380839.0,378360.0,383875.0,392380.0,406086.0,407213.0,405081.0,412657.0,410847.0,414891.0,419042.0,397608.0,422119.0
Emploi dans les activités de l'économie verte,Gestion des espaces verts,22884.0,23197.0,23721.0,23129.0,24519.0,25482.0,27338.0,25446.0,27300.0,27891.0,29990.0,31735.0,35471.0,41808.0
Emploi dans les activités de l'économie verte,Transports longue distance,260460.0,265397.0,262743.0,267558.0,275071.0,285304.0,282750.0,280569.0,285811.0,284999.0,285440.0,284804.0,261111.0,275849.0
Emploi dans les activités de l'économie verte,Transports urbains et suburbains,89862.0,92245.0,91896.0,93188.0,92790.0,95300.0,97126.0,99066.0,99545.0,97957.0,99460.0,102502.0,101026.0,104461.0
"PIB réel (Dollars des É-U, PPA convertis, Millions, 2015)",Tout,2605311.75,2532841.0,2583777.25,2644265.0,2647255.25,2667111.0,2693568.75,2722169.25,2745296.5,2804507.5,2853947.75,2909948.0,2696954.5,2876696.25
"PIB réel par habitant (Dollars des É-U par personne, PPA convertis, 2015)",Tout,40623.46,39294.0,39889.62,40626.43,40476.05,40573.09,40641.28,40927.15,41165.93,41931.35,42516.87,43206.4,39932.11,42467.44
Taux de change nominal (Monnaie nationale par dollar des É-U),Tout,0.68,0.72,0.75,0.72,0.78,0.75,0.75,0.9,0.9,0.89,0.85,0.89,0.88,0.85
